"maille_code";"sexe";"date";"hospitalises";"reanimation";"gueris";"deces"
"01";"0";"2020-03-18";2;0;1;0
"02";"0";"2020-03-18";41;10;18;11
"03";"0";"2020-03-18";4;0;1;0
"04";"0";"2020-03-18";3;1;2;0
"05";"0";"2020-03-18";8;1;9;0
"06";"0";"2020-03-18";25;1;47;2
"07";"0";"2020-03-18";12;1;0;0
"08";"0";"2020-03-18";0;0;1;0
"09";"0";"2020-03-18";1;1;2;0
"10";"0";"2020-03-18";5;0;0;0
"11";"0";"2020-03-18";8;7;9;3
"12";"0";"2020-03-18";7;2;1;0
"13";"0";"2020-03-18";98;11;59;4
"14";"0";"2020-03-18";4;1;0;0
"15";"0";"2020-03-18";2;1;0;0
"16";"0";"2020-03-18";1;0;0;0
"17";"0";"2020-03-18";5;2;2;0
"18";"0";"2020-03-18";0;0;0;0
"19";"0";"2020-03-18";0;0;0;0
"21";"0";"2020-03-18";60;16;4;0
"22";"0";"2020-03-18";1;1;3;0
"23";"0";"2020-03-18";0;0;0;0
"24";"0";"2020-03-18";2;1;1;0
"25";"0";"2020-03-18";26;3;8;1
"26";"0";"2020-03-18";17;2;0;0
"27";"0";"2020-03-18";0;0;0;0
"28";"0";"2020-03-18";5;3;0;1
"29";"0";"2020-03-18";13;5;3;0
"2A";"0";"2020-03-18";0;0;0;0
"2B";"0";"2020-03-18";0;0;0;0
"30";"0";"2020-03-18";5;3;6;0
"31";"0";"2020-03-18";23;5;11;0
"32";"0";"2020-03-18";1;1;0;0
"33";"0";"2020-03-18";7;4;3;1
"34";"0";"2020-03-18";37;15;18;2
"35";"0";"2020-03-18";7;3;0;0
"36";"0";"2020-03-18";0;0;0;0
"37";"0";"2020-03-18";4;1;0;0
"38";"0";"2020-03-18";18;2;0;1
"39";"0";"2020-03-18";2;1;1;0
"40";"0";"2020-03-18";0;0;0;0
"41";"0";"2020-03-18";0;0;0;0
"42";"0";"2020-03-18";31;10;3;1
"43";"0";"2020-03-18";1;1;5;0
"44";"0";"2020-03-18";18;3;7;1
"45";"0";"2020-03-18";5;1;0;0
"46";"0";"2020-03-18";0;0;1;0
"47";"0";"2020-03-18";10;4;1;0
"48";"0";"2020-03-18";1;0;0;0
"49";"0";"2020-03-18";12;1;26;0
"50";"0";"2020-03-18";7;0;1;0
"51";"0";"2020-03-18";35;7;6;1
"52";"0";"2020-03-18";4;0;0;1
"53";"0";"2020-03-18";4;0;2;0
"54";"0";"2020-03-18";42;19;1;5
"55";"0";"2020-03-18";11;3;0;0
"56";"0";"2020-03-18";39;14;63;7
"57";"0";"2020-03-18";169;34;11;16
"58";"0";"2020-03-18";0;0;0;0
"59";"0";"2020-03-18";106;26;16;3
"60";"0";"2020-03-18";94;22;18;6
"61";"0";"2020-03-18";4;0;2;0
"62";"0";"2020-03-18";22;9;16;0
"63";"0";"2020-03-18";10;2;3;0
"64";"0";"2020-03-18";5;0;0;0
"65";"0";"2020-03-18";0;0;0;0
"66";"0";"2020-03-18";9;5;1;0
"67";"0";"2020-03-18";210;58;4;15
"68";"0";"2020-03-18";371;77;116;74
"69";"0";"2020-03-18";36;8;10;0
"70";"0";"2020-03-18";14;4;2;0
"71";"0";"2020-03-18";35;0;4;5
"72";"0";"2020-03-18";9;0;1;0
"73";"0";"2020-03-18";8;0;3;0
"74";"0";"2020-03-18";31;8;43;5
"75";"0";"2020-03-18";359;105;40;14
"76";"0";"2020-03-18";30;3;3;3
"77";"0";"2020-03-18";25;13;10;0
"78";"0";"2020-03-18";69;18;5;5
"79";"0";"2020-03-18";2;1;2;0
"80";"0";"2020-03-18";50;20;9;1
"81";"0";"2020-03-18";2;0;2;0
"82";"0";"2020-03-18";1;0;0;1
"83";"0";"2020-03-18";23;7;78;0
"84";"0";"2020-03-18";9;3;7;1
"85";"0";"2020-03-18";1;0;0;0
"86";"0";"2020-03-18";7;0;0;1
"87";"0";"2020-03-18";2;0;2;0
"88";"0";"2020-03-18";32;6;7;8
"89";"0";"2020-03-18";6;0;1;0
"90";"0";"2020-03-18";25;9;0;0
"91";"0";"2020-03-18";51;16;0;1
"92";"0";"2020-03-18";149;48;22;4
"93";"0";"2020-03-18";92;33;15;5
"94";"0";"2020-03-18";122;32;16;5
"95";"0";"2020-03-18";90;29;21;2
"971";"0";"2020-03-18";0;0;0;0
"972";"0";"2020-03-18";16;5;0;1
"973";"0";"2020-03-18";0;0;0;0
"974";"0";"2020-03-18";2;2;0;0
"976";"0";"2020-03-18";0;0;0;0
"01";"0";"2020-03-19";2;0;1;0
"02";"0";"2020-03-19";43;15;33;19
"03";"0";"2020-03-19";0;0;7;0
"04";"0";"2020-03-19";3;1;3;0
"05";"0";"2020-03-19";10;1;10;0
"06";"0";"2020-03-19";33;5;48;2
"07";"0";"2020-03-19";11;2;0;0
"08";"0";"2020-03-19";0;0;1;0
"09";"0";"2020-03-19";1;1;2;0
"10";"0";"2020-03-19";6;1;0;0
"11";"0";"2020-03-19";18;11;8;6
"12";"0";"2020-03-19";9;2;2;1
"13";"0";"2020-03-19";128;20;97;4
"14";"0";"2020-03-19";4;1;1;0
"15";"0";"2020-03-19";3;1;0;0
"16";"0";"2020-03-19";0;0;2;0
"17";"0";"2020-03-19";7;2;2;0
"18";"0";"2020-03-19";0;0;0;0
"19";"0";"2020-03-19";1;0;0;0
"21";"0";"2020-03-19";53;19;28;2
"22";"0";"2020-03-19";2;1;3;0
"23";"0";"2020-03-19";0;0;0;0
"24";"0";"2020-03-19";2;1;1;0
"25";"0";"2020-03-19";33;11;10;2
"26";"0";"2020-03-19";32;8;2;0
"27";"0";"2020-03-19";1;1;0;1
"28";"0";"2020-03-19";11;4;0;1
"29";"0";"2020-03-19";17;5;6;0
"2A";"0";"2020-03-19";1;0;1;1
